courses long,courses short,city,county,Type,google rating,slope,latitude,longitude
Lincoln Hills Golf Course,Lincoln Hills,Birmingham,Oakland,Public,4.3,110,42.5313105,-83.2476
Links of Novi,Links of Novi,Novi,Oakland,Public,4.2,127,42.4627905,-83.5437
Lochmoor Club,Lochmoor,Grosse Pointe Woods,Wayne,Private,4.5,127,42.4364128,-82.8943
Lyon Oaks County Park Golf Course,Lyon Oaks,Wixom,Oakland,Public,4.2,131,42.5199661,-83.5706
Mack Mayfield Municipal Golf Course,Mack Mayfield,Westland,Wayne,Public,4.1,102,42.3065336,-83.3502
Maple Lane Golf Club,Maple Lane,Sterling Heights,Macomb,Public,4,111,42.5379733,-83.0075
Maples Golf Club,Maples Golf,Novi,Oakland,Public,4,112,42.5259148,-83.4588
Marsh Oaks Golf Club,Marsh Oaks,New Haven,Macomb,Public,3.2,131,42.7230567,-82.7571
Meadowbrook Country Club,Meadowbrook,Northville,Wayne,Private,4.7,142,42.437734,-83.4468
Mystic Creek Golf Course,Mystic Creek,Milford,Oakland,Public,4.2,129,42.5886155,-83.6300
Myth Public Golf Course,Myth,Oakland Township,Oakland,Public,3.3,119,42.7707932,-83.1580
Northville Hills Golf Club,Northville Hills,Northville,Wayne,Public,4.4,132,42.4004374,-83.4959
Oakhurst Golf & Country Club,Oakhurst,Village of Clarkston,Oakland,Private,4.5,132,42.7430918,-83.3469
Oakland Hills Country Club,Oakland Hills,Bloomfield Hills,Oakland,Private,4.8,137,42.5438957,-83.2777
Orchard Lake Country Club,Orchard Lake,West Bloomfield Township,Oakland,Private,4.7,131,42.5858634,-83.3827
Oxford Hills Golf Club,Oxford Hills,Oxford,Oakland,Public,4,118,42.8065094,-83.2443
Paint Creek Country Club,Paint Creek,Lake Orion,Oakland,Private,4.4,127,42.794827,-83.2945
Pheasant Run Golf Club,Pheasant Run,Canton Township,Wayne,Public,4.3,128,42.295347,-83.4985
Pine Knob Golf Club,Pine Knob,Village of Clarkston,Oakland,Public,4.4,127,42.7406712,-83.3720
Pine Lake Country Club,Pine Lake,West Bloomfield Township,Oakland,Private,4.8,130,42.5929919,-83.3433
Pine Trace Golf Club,Pine Trace,Rochester Hills,Oakland,Public,3.5,129,42.6242314,-83.1973
Pine Valley Golf & Country Club,Pine Valley,Ray,Macomb,Public,3.9,121,42.7909622,-82.9595
Plum Brook Golf Club,Plum Brook,Sterling Heights,Macomb,Public,3.7,117,42.5738537,-82.9927
Plum Hollow Country Club,Plum Hollow,Southfield,Oakland,Private,4.5,133,42.4511435,-83.2625
Pontiac Country Club,Pontiac CC,Waterford Township,Oakland,Public,4.2,115,42.6377834,-83.3718
Prestwick Village Golf Club,Prestwick Village,Highland,Oakland,Private,4.7,131,42.63549,-83.6412
Rackham Golf Course,Rackham,Huntington Woods,Oakland,Public,3.8,115,42.4761842,-83.1636
Rammler Golf Club,Rammler,Sterling Heights,Macomb,Public,4,116,42.5784804,-82.9866
Red Oaks Golf Course,Red Oaks,Madison Heights,Oakland,Public,4.3,103,42.5093866,-83.1053
Red Run Golf Club,Red Run,Royal Oak,Oakland,Private,4.6,128,42.5067803,-83.1423
Riverview Highlands Golf Course,Riverview Highlands,Riverview,Wayne,Public,4,118,42.1677035,-83.2051
Rouge Park Golf Course,Rouge Park,Detroit,Wayne,Public,4.2,112,42.3734783,-83.2472
Royal Oak Golf Course,Royal Oak,Royal Oak,Oakland,Public,3.5,110,42.5190216,-83.1785
Salem Hills Golf Club,Salem Hills,Northville,Wayne,Public,4.2,124,42.4048396,-83.5916
Sanctuary Lake Golf Course,Sanctuary Lake,Troy,Oakland,Public,3.9,123,42.6236589,-83.1038
Selfridge Golf Course,Shenandoah,West Bloomfield Township,Oakland,Private,4.5,122,42.6018281,-82.8097
Shenandoah Country Club,Shepherd's Hollow,Village of Clarkston,Oakland,Public,4.4,131,42.5571746,-83.3979
Shepherd's Hollow Golf Club,Silver Lake,Waterford Township,Oakland,Public,4.3,138,42.7295534,-83.4643
Silver Lake Golf Club,Somerset,Troy,Oakland,Public,3.9,108,42.682091,-83.3387
Somerset Golf Club,SouthWinds,Southgate,Wayne,Public,3.6,107,42.5583343,-83.1802
Springdale Golf Course,Springdale,Bloomfield Hills,Oakland,Public,4.5,107,42.5655499,-83.2159
Springfield Oaks Golf Course,Springfield Oaks,Davisburg,Oakland,Public,4.3,117,42.7458934,-83.5307
Stony Creek Metropark Golf Course,Stony Creek,Shelby Township,Macomb,Public,3.8,126,42.7174139,-83.1082
Stonycroft Hills Club,Stonycroft Hills,Bloomfield Hills,Oakland,Private,4.8,115,42.5893308,-83.2404
Sycamore Hills Golf Club,Sycamore Hills,Macomb,Macomb,Public,3.9,118,42.656245,-82.8781
Sylvan Glen Golf Course,Sylvan Glen,Troy,Oakland,Public,4.2,114,42.602679,-83.1302
Tam O'Shanter Country Club,Tam O'shanter,West Bloomfield Township,Oakland,Private,4.9,130,42.5643811,-83.3546
Tanglewood Golf Club,Tanglewood,South Lyon,Oakland,Public,4.4,126,42.4550792,-83.5782
Taylor Meadows Golf Club,Taylor Meadows,Taylor,Wayne,Public,4.3,124,42.2566169,-83.2837
The Cardinal,The Cardinal,Plymouth Township,Wayne,Public,4.2,137,42.3935362,-83.4786
The Links at Crystal Lake,The Links,Pontiac,Oakland,Public,4.2,112,42.6185414,-83.3021
The Orchards Golf Club,The Orchards,Washington,Macomb,Public,4.3,128,42.7556533,-83.0366
The Wyndgate Country Club,The Wyndgate,Rochester Hills,Oakland,Private,4.6,132,42.7386996,-83.1821
TPC Michigan,TPC Michigan,Dearborn,Wayne,Private,4.6,136,42.3064079,-83.2009
Twin Lakes Golf Club,Twin Lakes,Oakland Township,Oakland,Public,4.3,125,42.7676899,-83.1290
Wabeek Club,Wabeek Club,Bloomfield Township,Oakland,Private,4.6,131,42.5798209,-83.3162
Walnut Creek Country Club,Walnut Creek,South Lyon,Oakland,Private,4.7,132,42.473851,-83.5684
Warfield Greens Golf Club,Warfield Greens,Fraser,Macomb,Public,3.9,70,42.5482135,-82.9587
Warren Valley Golf Course,Warren Valley,Dearborn Heights,Wayne,Public,4,117,42.3409466,-83.2967
Water's Edge Golf Course,Water's Edge,Grosse Ile,Wayne,Public,4.2,116,42.1251068,-83.1725
West Shore Golf & Country Club,West Shore,Grosse Ile Township,Wayne,Private,4.6,121,42.14011,-83.1689
Western Golf & Country Club,Western,Redford Township,Wayne,Public,4.6,126,42.3935384,-83.2999
Whispering Willows Golf Course,Whispering Willows,Livonia,Wayne,Public,4.1,114,42.4377306,-83.4128
White Lake Oaks Golf Course,White Lake Oaks,White Lake,Oakland,Public,4.1,118,42.6537221,-83.4488
Willow Metropark Golf Course,Willow Metropark,New Boston,Wayne,Public,4,128,42.1388137,-83.3656
Woodside Meadows,Woodside Meadows,Romulus,Wayne,Public,4.2,120,42.1532288,-83.3060
Wyandotte Shores Golf Course,Wyandotte Shores,Wyandotte,Wayne,Public,4.4,108,42.1959533,-83.1516
,,,,,,,,
